ID,Bundle,Field label,Machine name,Reused Field,X,Dev,QA,Field group,Field type,Ref. bundle,Req'd,Vals.,Form widget,Trns.,Settings/notes,Help text,Bundle machine name
,Landing page (Content type),Title,-,-,d,,,,Entity label,,-,-,Textfield,n,,,landing_page
,Landing Page (Content type),Hero,field_hero,y,d,,,,Entity reference,,n,1,,n,Hero will either be a paragraph or maybe fields dependent on the page type (shown/hidden with conditional fields??,,landing_page
,Landing page (Content type),Body,body,y,d,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,Basic HTML allowed,,landing_page
,Landing Page (Content type),Sections,field_paragraphs,y,d,,,,Entity Reference Revisions (paragraphs),All,n,*,Layout Paragraphs,n,Preview view mode is preview. All paragraphs enabled. Nesting level is 0. Require paragraphs to be added in a layout.,,landing_page
,Landing Page (Content type),Page family,field_page_family,y,d,,,,Entity reference,Page Families (Vocabulary),y,1,Autocomplete,n,,,landing_page
,Landing Page (Content type),Exclude from search,exclude_search,y,d,,,,Boolean,,n,1,Single on/off checkbox,n,"Changes the metatags for the page to be nofollow, noindex.",,landing_page
,Landing Page (Content type),Editorial Access,field_editorial_access,y,d,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,landing_page
,Landing Page (Content type),Domain Source,field_domain_source,y,d,x,,,Entity reference,,y,1,Select list,n,,,landing_page
,Landing Page (Content type),Domain Record,field_domain_record,y,d,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,landing_page
,Landing Page (Content type),Send to all affiliates,field_domain_all_affiliates,y,d,x,,,Boolean,,n,1,Single on/off checkbox,n,,,landing_page
,Landing Page (Content type),Metatags,field_metatags,y,d,,,,Meta tags,,n,1,Advanced meta tags form,n,,,landing_page
,,,,,,,,,,,,,,,,,#VALUE!
,Profile (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,,bio
,Profile (Content type),Athena ID,field_athena_id,n,a,,,,Text (plain),,y,1,Textfield,n,Hidden on form display (after sync is set up),,bio
,Profile (Content type),Username,field_username,n,a,,,,Text (plain),,y,1,Textfield,n,"Hidden on form display (after sync is set up), maps to Drupal username, used in URL slug.",,bio
,Profile (Content type),Headshot,field_image,y,a,,,,Entity reference,Image (Media type),y,1,Media library,n,,"<strong>Optimal image size:</strong> 852x1016px<br> If you need a headshot scheduled, please <a href=""mailto:photo@uwec.com"">email photo@uwec.edu</a>",bio
,Profile (Content type),First Name,field_first_name,n,a,,,,Text (plain),,y,1,Textfield,n,Hidden on form display (after sync is set up) Pulled from HR system,,bio
,Profile (Content type),Middle Name,field_middle_name,n,a,,,,Text (plain),,y,1,Textfield,n,Not displayed on node,,bio
,Profile (Content type),Last Name,field_last_name,n,a,,,,Text (plain),,y,1,Textfield,n,Hidden on form display (after sync is set up) Pulled from HR system,,bio
,Profile (Content type),First Name Override,field_first_override,n,a,,,,Text (plain),,n,1,Textfield,n,When used its shown in place of the pulled first name.,Override the first name pulled from HR.,bio
,Profile (Content type),Last Name Override,field_last_override,n,a,,,,Text (plain),,n,1,Textfield,n,When used its shown in place of the pulled last name.,Override the last name pulled from HR.,bio
,Profile (Content type),Prefixes,field_prefixes,n,a,,,,Text (plain),,n,1,Textfield,n,,,bio
,Profile (Content type),Suffixes,field_suffixes,n,a,,,,Text (plain),,n,1,Textfield,n,,,bio
,Profile (Content type),Pronouns,field_pronouns,n,a,,,,Text (plain),,n,1,Textfield,n,,"Optionally enter your pronouns here (e.g., ""she/her/hers"" or ""they/them"" or ""he or they""). If entered, your pronouns will be listed alongside your name on your profile.",bio
,Profile (Content type),Faculty/Staff,field_faculty_staff,n,a,,,,List (text),,n,1,Textfield,n,,"To select multiple designations, hold down the ctrl (PC) or command (mac) key and select all desired fields.",bio
,Profile (Content type),Title(s),field_position,n,a,,,,Text (plain),,n,*,Textfield,n,Hidden on form display (after sync is set up)  Pulled from HR system,,bio
,Profile (Content type),Title Override(s),field_position_override,n,a,,,,Text (plain),,n,*,Textfield,n,When used its shown in place of the pulled title.,Override the title pulled from HR.,bio
,Profile (Content type),Alumni?,field_is_alumni,n,a,,,,Boolean,,n,1,Single on/off checkbox,n,,,bio
,Profile (Content type),Emeriti Status,field_emeriti_status,n,a,,,,List (text),,n,1,Select list,n,"Options: Not Emeritus, Emeritus - Teaching, Emeritus - Active Non-Teaching, Emeritus - Inactive Non-Teaching.  Need more information from Basecamp on what other functionality the field has. If any of the three Emeritus options are selected then the word 'Emeritus' appears under the profile photo.",,bio
,Profile (Content type),Campus,field_campus,n,a,,,,Entity reference,Campuses (Vocabulary),y,1,Select list,n,,"To select multiple campuses, hold down the ctrl (PC) or command (mac) key and select all desired fields. ",bio
,Profile (Content type),Colleges,field_colleges,y,a,,,,Entity reference,College (Content type),y,*,Select list,n,,,bio
,Profile (Content type),Academic Department(s),field_departments,n,a,,,,Entity reference,Department (Content type),n,*,Autocomplete,n,,,bio
,Profile (Content type),Academic Programs,field_programs,n,a,,,,Entity reference,Academic Program (Content type),n,*,Autocomplete,n,,,bio
,Profile (Content type),Email,field_email,y,a,,,,Email,,n,1,Email,n,Hidden on form display (after sync is set up). Pulled from HR system,,bio
,Profile (Content type),Phone,field_phone,y,a,,,,Telephone number,,n,1,Telephone number,n,Hidden on form display (after sync is set up). Pulled from HR system,,bio
,Profile (Content type),Office,field_office,y,a,,,,"Text (plain, long)",,n,1,Text area (multiple rows),n,,"<strong>Example:</strong></br>
Hibbard Humanities Hall 717</br>
124 Garfield Ave </br>
Eau Claire, WI 54701
",bio
,Profile (Content type),Office Hours,field_office_hours,n,a,,,,"Text (plain, long)",,n,1,Text area (multiple rows),n,,"<strong>Example:</strong></br>
Spring semester 2023:</br>
Wednesdays 12:30-2:30pm</br>
and by appointment",bio
,Profile (Content type),CV,field_cv,y,a,,,,File,,n,1,File,n,Allowed file types: pdf," If you would rather link to your CV, you may add the link below. ",bio
,Profile (Content type),Links,field_links,n,a,,,,Link,,n,6,Link,n,"Internal and external, text required. Not show on mockups but listed under the cv field with the info icon.",,bio
,Profile (Content type),Social Media,field_platforms,n,a,,,,Link,,n,*,Link,n,"External only, text disable","Paste in the links to your social pages. WARNING: Only Facebook, Twitter, LinkedIn, Instagram, Snapchat, Flickr, Blogger, Pinterest, Tumblr, and YouTube are supported. ",bio
,Profile (Content type),Short Bio,field_short_bio,n,a,,,,"Text (formatted, long, with summary)",,n,1,Text area (multiple rows),n,"Limited HTML allowed, used for metatags only","Short bios ONLY appear when you are featured on a department, office, or service employee listing. This should be a quick summary of your role. Please keep text between 1-3 sentences. ",bio
,Profile (Content type),Full Bio,body,y,a,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,"Limited HTML allowed, no summary",Full bios ONLY appear on your full profile listing. This is used to display more robust information about you and your role. This field can be as long or as short as you'd like. ,bio
,Profile (Content type),Areas of Expertise,field_areas_of_expertise,,d,,,,,,,,Select list,n,No doing the data integration or having the field at all.,,bio
,Profile (Content type),Teaching & Research Interests,field_interests,n,a,,,Additional Information,"Text (formatted, long)",,n,1,Text area (multiple rows),n,Limited HTML allowed,,bio
,Profile (Content type),Research And Creative Activities,field_research,n,d,,,Additional Information,"Text (formatted, long)",,n,1,Text area (multiple rows),n,Limited HTML allowed,,bio
,Profile (Content type),Education,field_education,n,a,,,Additional Information,"Text (formatted, long)",,n,1,Text area (multiple rows),n,Limited HTML allowed,,bio
,Profile (Content type),Honors And Recognition,field_honors,n,a,,,Additional Information,"Text (formatted, long)",,n,1,Text area (multiple rows),n,Limited HTML allowed,,bio
,Profile (Content type),Published Research,field_publications,n,a,,,Additional Information,"Text (formatted, long)",,n,1,Text area (multiple rows),n,Limited HTML allowed,,bio
,Profile (Content type),Placement tags,field_placement_tags,y,d,,,,Entity reference,Placement Tags (Vocabulary),n,*,Autocomplete,n,,,bio
,Profile (Content type),Page families,field_page_families,y,a,,,,Entity reference,Page Families (Vocabulary),n,*,Autocomplete,n,,"Please select any office or service that you should appear on a staff listing of (e.g., Blugold Central, Learning Technology Services, Center for Excellence in Teaching and Learning, Campus Closet, etc.) ",bio
,Profile (Content type),List Widget,field_list_widget,y,a,,,,Entity reference,List Widgets (Vocabulary),y,1,Select list,n,Profile term selected by default. Field hidden from node form.,,bio
,Profile (Content type),Last Import Date,field_import_date,y,a,,,,Date,,y,1,Date and time,n,"Date and time, HR SYNC, Visible on node form but prevent all except site admins from accessing",,bio
,Profile (Content type),Editorial Access,field_editorial_access,y,d,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,bio
,Profile (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,bio
,Profile (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,bio
,Profile (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,bio
,Profile (Content type),Metatags,field_metatags,y,a,,,,Meta tags,,n,1,Advanced meta tags form,n,,,bio
,,,,,,,,,,,,,,,,,#VALUE!
,Snapshot Library (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,This is the fact headline.,snapshot
,Snapshot Library (Content type),Snapshot,field_image,y,a,,,,Entity reference,Image (Media type),y,1,Media library,n,"Render as 492x492 on the node, 240x240 on teaser",<strong>Optimal image size:</strong> 984x984px,snapshot
,Snapshot Library (Content type),Text,field_plain_text,n,a,,,,"Text (plain, long)",,y,1,Text area (multiple rows),n,,,snapshot
,Snapshot Library (Content type),Link,field_link,y,a,,,,Link,,y,1,Link,n,,,snapshot
,Snapshot Library (Content type),Eyebrow,field_eyebrow,y,a,,,,Entity reference,Eyebrows (Vocabulary),y,1,Select list,n,,,snapshot
,Snapshot Library (Content type),Entry Year,field_entry_year,n,a,,,,Date,,y,1,Date and time,n,Date (year) only,,snapshot
,Snapshot Library (Content type),Type,field_snapshot_type,n,a,,,,Entity reference,Snapshot Types (Vocabulary),y,1,1,n,,,snapshot
,Snapshot Library (Content type),Colleges,field_colleges,y,a,,,,Entity reference,College (Content type),n,*,Autocomplete,n,,,snapshot
,Snapshot Library (Content type),Departments,field_departments,y,a,,,,Entity reference,Department (Content type),n,*,Autocomplete,n,,,snapshot
,Snapshot Library (Content type),Programs,field_programs,y,a,,,,Entity reference,Academic Program (Content type),n,*,Autocomplete,n,,,snapshot
,Snapshot Library (Content type),Placement tags,field_placement_tags,y,a,,,,Entity reference,Placement Tags (Vocabulary),n,*,Autocomplete,n,,,snapshot
,Snapshot Library (Content type),Page families,field_page_families,y,a,,,,Entity reference,Page Families (Vocabulary),n,*,Autocomplete,n,,,snapshot
,Snapshot Library (Content type),List Widget,field_list_widget,y,a,,,,Entity reference,List Widgets (Vocabulary),y,1,Select list,n,Snapshot term selected by default. Field hidden from node form.,,snapshot
,Snapshot Library (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,snapshot
,Snapshot Library (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,snapshot
,Snapshot Library (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,snapshot
,Snapshot Library (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,Checked by default,,snapshot
,,,,,,,,,,,,,,,,,#VALUE!
,Story Library (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,,news
,Story Library (Content type),Featured Image,field_image,y,a,,,,Entity reference,Image (Media type),y,1,Media library,n,"Render as banner on node, 539x304 on teaser",<strong>Optimal image size:</strong> 1920x1280px,news
,Story Library (Content type),Authors,field_authors,n,a,,,,Entity reference,Author (Vocabulary),n,*,Autocomplete,n,"If the author's term has a profile referenced, then link directly to the profile.",,news
,Story Library (Content type),Story Type,field_story_type,n,a,,,,Entity reference,Story Types (Vocabulary),y,1,Select list,n,,,news
,Story Library (Content type),Eyebrow,field_eyebrow,y,a,,,,Entity reference,Eyebrows (Vocabulary),y,1,Select list,n,,,news
,Story Library (Content type),Intro text,field_intro_text,y,a,,,,"Text (formatted, long, with summary)",,y,1,Text area (multiple rows),n,Limited HTML allowed. Use custom metatag setup to include intro instead of body.,,news
,Story Library (Content type),Story,body,y,d,,,,"Text (formatted, long, with summary)",,n,1,Textfield,n,"Basic HTML, no summary",,news
,Story Library (Content type),Sections,field_paragraphs,y,a,,,,Entity Reference Revisions (paragraphs),,n,*,Layout Paragraphs,n,Preview mode is preview. All content paragraphs enabled single. 0 nesting level.,,news
,Story Library (Content type),Categories,field_categories,y,d,,,,Entity reference,Story Categories (Vocabulary),y,*,Autocomplete,n,,,news
,Story Library (Content type),Colleges,field_colleges,y,a,,,,Entity reference,College (Content type),n,*,Autocomplete,n,,,news
,Story Library (Content type),Departments,field_departments,y,a,,,,Entity reference,Department (Content type),n,*,Autocomplete,n,,,news
,Story Library (Content type),Programs,field_programs,y,a,,,,Entity reference,Academic Program (Content type),n,*,Autocomplete,n,,,news
,Story Library (Content type),Placement tags,field_placement_tags,y,a,,,,Entity reference,Placement Tags (Vocabulary),n,*,Autocomplete,n,,,news
,Story Library (Content type),Page families,field_page_families,y,a,,,,Entity reference,Page Families (Vocabulary),n,*,Autocomplete,n,,,news
,Story Library (Content type),List Widget,field_list_widget,y,a,,,,Entity reference,List Widgets (Vocabulary),y,1,Select list,n,Story term selected by default. Field hidden from node form.,,news
,Story Library (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,news
,Story Library (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,news
,Story Library (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,news
,Story Library (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,news
,Story Library (Content type),Metatags,field_metatags,y,a,,,,Meta tags,,n,1,Advanced meta tags form,n,,,news
,,,,,,,,,,,,,,,,,#VALUE!
,Support Book (Content type),Title,-,-,x,,,,Entity label,,-,-,Textfield,n,,,office
,Support Book (Content type),Body,body,y,x,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,,,office
,Support Book (Content type),Sections,field_paragraphs,y,x,,,,Entity Reference Revisions (paragraphs),All except layout sections,n,*,Layout Paragraphs,n,Preview mode is preview. All paragraphs enabled except for layout section. 0 nesting level. ,,office
,Support Book (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,office
,Support Book (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,office
,Support Book (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,office
,Support Book (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,Checked by default,,office
,,,,,,,,,,,,,,,,,#VALUE!
,Testimonial Library (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,This is the persons name.,testimonial
,Testimonial Library (Content type),Image,field_image,y,a,,,,Entity reference,Image (Media type),n,1,Media library,n,Render as 240x240 in all places used,<strong>Optimal image size:</strong> 480x480px,testimonial
,Testimonial Library (Content type),Quote or Summary,body,-,a,,,,"Text (formatted, long, with summary)",,y,1,Text area with a summary,n,"Plain text, no summary","If adding a quote, do not add quotation marks.",testimonial
,Testimonial Library (Content type),Is Quote,field_is_quote,n,d,,,,Boolean,,n,1,Single on/off checkbox,n,,Will style quote/summary text as a quote.,testimonial
,Testimonial Library (Content type),Add date,field_date,y,a,,,,Date,,y,1,Date and time,n,Date only,Select the date this testimonal was added (considered live). ,testimonial
,Testimonial Library (Content type),Grad Year,field_grad_year,n,a,,,,Text (plain),,n,1,Textfield,n,,Format should be 'Class of XX'.,testimonial
,Testimonial Library (Content type),Major,field_major,n,a,,,,Text (plain),,n,1,Textfield,n,,,testimonial
,Testimonial Library (Content type),Position,field_position,y,a,,,,Text (plain),,n,*,Textfield,n,,,testimonial
,Testimonial Library (Content type),Eyebrow,field_eyebrow,y,a,,,,Entity reference,Eyebrows (Vocabulary),y,1,Select list,n,,,testimonial
,Testimonial Library (Content type),Colleges,field_colleges,y,a,,,,Entity reference,College (Content type),n,*,Autocomplete,n,,,testimonial
,Testimonial Library (Content type),Departments,field_departments,y,a,,,,Entity reference,Department (Content type),n,*,Autocomplete,n,,,testimonial
,Testimonial Library (Content type),Programs,field_programs,y,a,,,,Entity reference,Academic Program (Content type),n,*,Autocomplete,n,,,testimonial
,Testimonial Library (Content type),Placement tags,field_placement_tags,y,a,,,,Entity reference,Placement Tags (Vocabulary),n,*,Autocomplete,n,,,testimonial
,Testimonial Library (Content type),Page families,field_page_families,y,a,,,,Entity reference,Page Families (Vocabulary),n,*,Autocomplete,n,,,testimonial
,Testimonial Library (Content type),List Widget,field_list_widget,y,a,,,,Entity reference,List Widgets (Vocabulary),y,1,Select list,n,Testimonials term selected by default. Field hidden from node form.,,testimonial
,Testimonial Library (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,testimonial
,Testimonial Library (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,testimonial
,Testimonial Library (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,testimonial
,Testimonial Library (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,testimonial
,,,,,,,,,,,,,,,,,#VALUE!
,Video Card Library (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,This is the persons name.,video_card
,Video Card Library (Content type),Video,field_video,n,a,,,,Entity reference,Remote Video (Media type),y,1,Media library,n,,,video_card
,Video Card Library (Content type),Text,body,-,a,,,,"Text (formatted, long, with summary)",,y,1,Text area with a summary,n,"Limited HTML, no summary",,video_card
,Video Card Library (Content type),Eyebrow,field_eyebrow,y,a,,,,Entity reference,Eyebrows (Vocabulary),y,1,Select list,n,,,video_card
,Video Card Library (Content type),Colleges,field_colleges,y,a,,,,Entity reference,College (Content type),n,*,Autocomplete,n,,,video_card
,Video Card Library (Content type),Departments,field_departments,y,a,,,,Entity reference,Department (Content type),n,*,Autocomplete,n,,,video_card
,Video Card Library (Content type),Programs,field_programs,y,a,,,,Entity reference,Academic Program (Content type),n,*,Autocomplete,n,,,video_card
,Video Card Library (Content type),Placement tags,field_placement_tags,y,a,,,,Entity reference,Placement Tags (Vocabulary),n,*,Autocomplete,n,,,video_card
,Video Card Library (Content type),Page families,field_page_families,y,a,,,,Entity reference,Page Families (Vocabulary),n,*,Autocomplete,n,,,video_card
,Video Card Library (Content type),List Widget,field_list_widget,y,a,,,,Entity reference,List Widgets (Vocabulary),y,1,Select list,n,Video Card term selected by default. Field hidden from node form.,,video_card
,Video Card Library (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,video_card
,Video Card Library (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,video_card
,Video Card Library (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,video_card
,Video Card Library (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,video_card
,,,,,,,,,,,,,,,,,#VALUE!
,Document (Media type),Document,field_media_file,n,x,,,,File,,y,1,File,n,"Allowed types (txt, pdf, doc, docx, zip, xls, xlsx, ppt, pptx), description enabled, max size 20mb, directory ([date:custom:Y]-[date:custom:m])",,document
,Document (Media type),Media name,-,-,x,,,,Entity label,,-,-,Textfield,n,,,document
,Icon (Media type),Icon,field_media_icon,n,a,,,,Image,,y,1,Image,n,"Allowed types (svg), alt enabled and required, max size 2mb, directory ([date:custom:Y]-[date:custom:m]). NOTE: WIll need to add SVG Image module",,icon
,Icon (Media type),Media name,-,-,a,,,,Entity label,,-,-,Textfield,n,,,icon
,Image (Media type),Image,field_media_image,n,x,,,,Image,,y,1,Image (Focal Point),n,"Allowed types (png, gif, jpg, jpeg), alt enabled and required, max size 2mb, directory ([date:custom:Y]-[date:custom:m])",,image
,Image (Media type),Tags,field_media_tags,y,a,,,,Entity reference,Media Tags (Vocabulary),n,*,Autocomplete,n,,,image
,Image (Media type),Image,field_caption,n,d,,,,"Text (plain, long)",,n,1,Text area (multiple rows),n,,<strong>NOTE:</strong> Captions may not be displayed in all places this media is used.,image
,Image (Media type),Media name,-,-,x,,,,Entity label,,-,-,Textfield,n,,,image
,Remote video (Media type),Media name,-,-,x,,,,Entity label,,-,-,Textfield,n,,,remote_video
,Remote video (Media type),Video URL,field_media_oembed_video,n,x,,,,Text (plain),,y,1,oEmbed URL,n,,,remote_video
,Remote Video (Media type),Tags,field_media_tags,y,a,,,,Entity reference,Media Tags (Vocabulary),n,*,Autocomplete,n,Add exposed filter to media library view for media tags.,,remote_video
,,,,,,,,,,,,,,,,,#VALUE!
,Basic Block (Custom block type),Block description,-,-,x,,,,Entity label,,y,1,Textfield,n,,,basic
,Basic Block (Custom block type),Body,body,y,x,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,Basic HTML allowed,,basic
,,,,,,,,,,,,,,,,,#VALUE!
,Formatted Promo (Custom block type),Block description,-,-,a,,,,Entity label,,y,1,Textfield,n,See if can use autoentity title so editors don't have to fill out this and formatted title.,,formatted_promo
,Formatted Promo (Custom block type),Title,Formatted Headline,y,a,,,,"Text (formatted, long)",,n,1,Text area (multiple rows),n,Short Text Formatted HTML allowed. Add field template to render raw and strip out all tags except bold and to render in an H2. Add some admin theming so text area looks like not much content should be entered.,,formatted_promo
,Formatted Promo (Custom block type),Body,body,y,a,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,Limited HTML allowed,,formatted_promo
,Formatted Promo (Custom block type),Button,field_link,n,a,,,,Link,,y,1,Link,n,"Internal and external links, link text required.",,formatted_promo
,,,,,,,,,,,,,,,,,#VALUE!
,Page Structured Section (Custom block type),Wayfinding,field_wayfinding,n,a,,,,Entity Reference Revisions (paragraphs),Wayfinding (Paragraph type),n,1,Paragraphs Stable,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, No default paragraph, Only collapse/edit all enabled. Only wayfinding allowed.",,structured_section
,Page Structured Section (Custom block type),Lead-in,field_leadin,n,a,,,,"Text (plain, long)",,n,1,Text area (multiple rows),n,,,structured_section
,Page Structured Section (Custom block type),Button,field_button,n,a,,,,Link,,n,1,Link,n,"Internal and external, link text required.",,structured_section
,Page Structured Section (Custom block type),Formatted headline,field_formatted_headline,n,a,,,Call to action,"Text (formatted, long)",,n,1,Text area (multiple rows),n,Short Text Formatted HTML allowed. Add field template to render raw and strip out all tags except bold and to render in an H2. Add some admin theming so text area looks like not much content should be entered.,,structured_section
,Page Structured Section (Custom block type),Text,body,y,a,,,Call to action,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,"Summary disabled, Limited HTML allowed",,structured_section
,Page Structured Section (Custom block type),Show program finder?,field_program_finder,n,a,,,Call to action,Boolean,,n,1,Single on/off checkbox,n,,Show the programs search block in the CTA.,structured_section
,Page Structured Section (Custom block type),Image,field_cta_image,n,a,,,Call to action,Entity reference,Image (Media type),n,1,Media library,n,,<strong>Optimal image size:</strong> is 852x852px,structured_section
,Page Structured Section (Custom block type),Links,field_cta_links,n,a,,,Call to action,Link,,n,*,Link,n,"Internal and external, link text required.",,structured_section
,Page Structured Section (Custom block type),Background Image,field_bg_image,n,a,,,,Entity reference,Image (Media type),n,1,Media library,n,,<strong>Optimal image size:</strong> is 1920x1920px. The background image needs to be pre-styled to work with the background color of the section block. ,structured_section
,,,,,,,,,,,,,,,,,#VALUE!
,Newsletter (Custom block type),Block description,-,-,d,,,,Entity label,,n,1,Textfield,n,,,newsletter
,Newsletter (Custom block type),Block Intro,body,y,d,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,"Summary disabled, Limited HTML allowed",,newsletter
,Newsletter (Custom block type),Form Embed,field_form_embed,n,d,,,,"Text (plain, long)",,y,1,Text area (multiple rows),n,,,newsletter
,Newsletter (Custom block type),Modal Header,field_modal_header,n,d,,,Modal Settings (detail),Text (plain),,n,1,Textfield,n,,,newsletter
,Newsletter (Custom block type),Modal Intro,field_modal_intro,n,d,,,Modal Settings (detail),"Text (formatted, long)",,n,1,Text area (multiple rows),n,Limited HTML allowed,,newsletter
,Newsletter (Custom block type),Modal Trigger Text,field_modal_trigger,n,d,,,Modal Settings (detail),Text (plain),,n,1,Textfield,n,,This text will be displayed at the end of the block intro and will be the link that opens the form modal.,newsletter
,Newsletter (Custom block type),Open form modal pop-up,field_form_modal,n,d,,,,Boolean,,n,1,Single on/off checkbox,n,Uses field label,,newsletter
,,,,,,,,,,,,,,,,,#VALUE!
,Reusable Widgets (Custom block type),Block description,-,-,a,,,,Entity label,,n,1,Textfield,n,,,reusable_widgets
,Reusable Widgets (Custom block type),Widgets,-,n,a,,,,Entity Reference Revisions (paragraphs),,n,*,Layout Paragraphs,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, No default paragraph, Only collapse/edit all enabled. All parent paragraphs enabled except quote, hallmark, content carousel, hero, hours set.",,reusable_widgets
,,,,,,,,,,,,,,,,,#VALUE!
,Social Media Links (Custom block type),Block description,-,-,x,,,,Entity label,,-,-,Textfield,n,,,social_media_links
,Social Media Links (Custom block type),Intro,body,y,d,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,"Summary disabled, Limited HTML allowed",,social_media_links
,Social Media Links (Custom block type),Platforms,field_platforms,n,a,,,,Link,,y,*,Link,n,"External only, text disable","Paste in the links to your platform pages. <strong>WARNING:</strong> Only Facebook, Twitter, LinkedIn, Instagram, Snapchat, TikTok and YouTube are supported. ",social_media_links
,,,,,,,,,,,,,,,,,#VALUE!
,Author (Vocabulary),Blurb,description,-,a,,,,"Text (formatted, long)",,y,1,Text area (multiple rows),n,Limited HTML allowed.,,author
,Author (Vocabulary),Profile,field_profile,n,a,,,,Entity reference,Profile (Content type),n,1,Autocomplete,n,,,author
,Author (Vocabulary),Image,field_image,n,a,,,,Entity reference,Image (Media type),n,1,Media library,n,Only renders if a profile is not linked to.,"If a profile is referenced, the profile image will automatically be used. <strong>Optimal image size:</strong>480x480px.",author
,Author (Vocabulary),Name,field_author_name,n,a,,,,Text (plain),,n,1,Textfield,n,,,author
,,,,,,,,,,,,,,,,,#VALUE!
,Page Families (Vocabulary),Contact Information,field_contact,n,a,,,,Entity reference,Contact Library (Content type),n,1,Autocomplete,n,,,page_families
,Page Families (Vocabulary),Hours,field_hours,n,a,,,,Entity reference,Hours Library (Content type),n,1,Autocomplete,n,,,page_families
,Page Families (Vocabulary),Social Links,field_platforms,y,a,,,,Link,,y,*,Link,n,"External only, text disable","Paste in the links to your platform pages. <strong>WARNING:</strong> Only Facebook, Twitter, LinkedIn, Instagram, Snapchat, TikTok and YouTube are supported. ",page_families
,,,,,,,,,,,,,,,,,#VALUE!
,Accordion Item (Paragraph type),Accordion Header,field_accordion_header,n,x,,,,Text (plain),,y,1,Textfield,n,,,accordion_item
,Accordion Item (Paragraph type),Intro,field_intro,n,d,,,,"Text (plain, long)",,n,1,Text area (multiple rows),n,Need more info on how this works with the actual accordion header & content. Meant to provide context for the hidden text in the accordion.,,accordion_item
